,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,GarageArea,1stFlrSF,YearBuilt,BsmtFinSF1,LotArea,OverallCond,SalePrice_log
432,5,1365,2,765,440,765,1971,471,1920,5,11.715866308966918
433,6,1604,2,926,470,926,1997,0,10839,5,12.106252310247962
434,4,630,0,630,0,630,1972,495,1890,7,11.302204433654575
435,7,1661,2,799,550,827,1996,385,10667,6,12.26434155365415
436,6,1118,2,648,440,734,1920,0,4400,8,11.661345470088502
437,6,904,1,884,180,904,1926,0,6000,7,11.686878772093667
438,5,694,1,440,352,694,1913,365,4280,6,11.411446296020374
439,6,1196,2,684,528,684,1920,0,12354,8,11.608235644774552
441,4,1440,0,1440,0,1440,1955,133,12108,4,11.678439903447801
442,5,1573,2,1078,360,1128,1930,0,6240,7,12.000891794590137
443,7,1258,3,1258,648,1258,2006,0,3922,5,12.058152515453552
444,7,1908,2,915,493,933,1994,642,8750,5,12.254862809699606
445,6,1689,2,1436,480,1689,1956,0,9855,5,11.755871643580617
446,6,1888,2,1517,578,1888,1966,247,16492,6,12.154779351142624
447,7,1886,2,930,431,956,1998,0,11214,5,12.205572520488492
448,6,1376,1,780,198,780,1937,0,8600,6,11.691071650353702
449,3,1183,1,649,308,679,1948,331,6000,7,11.695247021764184
450,6,813,1,813,270,813,1930,0,5684,8,11.608235644774552
451,7,1533,2,1533,576,1533,1975,655,70761,5,12.542544882151386
452,6,1756,2,872,422,888,1996,742,9303,5,12.225875272826354
453,8,1590,2,768,676,786,2008,0,9000,5,12.254862809699606
454,5,1728,2,1728,560,1728,1976,1606,9297,5,12.144197241812087
455,7,1242,2,1242,528,1242,1973,916,9600,6,12.075394321888057
456,5,1344,3,624,513,624,1916,0,4571,5,11.49272275765271
457,4,1663,2,1364,529,1663,1954,1116,53227,6,12.4529327234617
458,8,1666,1,588,228,833,1925,0,5100,7,11.9891596439666
459,5,1203,1,709,352,979,1950,185,7015,4,11.608235644774552
460,8,1935,2,832,552,832,2009,544,8004,5,12.481561937216318
461,7,1135,2,560,576,575,1936,350,7200,9,11.951180395901384
462,5,864,1,864,360,864,1965,553,8281,5,11.041048081342682
463,6,1660,1,715,240,849,1934,326,11988,7,12.147913731356642
464,5,1040,0,1040,0,1040,1978,616,8430,5,11.728036844587175
465,7,1414,2,1375,398,1414,2004,0,3072,5,12.093687514935382
466,7,1277,2,1277,526,1277,1970,778,10628,5,12.025749091398891
467,5,1644,1,728,312,888,1942,386,9480,7,11.894780707439258
468,8,1634,3,1626,866,1634,2006,0,11428,5,12.429216196844383
469,6,1710,2,832,506,832,1993,426,9291,5,12.138863895836725
470,8,1502,2,1488,528,1502,1985,368,6820,5,12.26434155365415
471,7,1969,2,808,534,1161,1977,0,11952,6,12.154779351142624
472,6,1072,2,547,525,1072,2005,459,3675,5,11.904967552746252
473,8,1976,3,1976,908,1976,2006,1350,14977,5,12.994530005894443
474,8,1652,2,1494,499,1652,2000,1196,5330,5,12.43320821811392
475,5,970,2,970,624,970,1963,630,8480,6,11.794337924408413
476,6,1493,2,1478,508,1493,1997,994,13125,5,12.249610947544657
478,8,1718,3,1705,826,1718,2007,1288,10637,5,12.601487417784837
479,4,1131,2,907,672,1131,1937,168,5925,7,11.401669829409995
480,9,1850,3,1833,772,1850,2004,1261,16033,5,12.694652660348845
481,9,1792,3,1792,874,1792,2003,1567,11846,5,12.832011076396668
482,7,1826,1,910,164,916,1915,299,2500,8,11.951180395901384
483,6,1216,2,1216,402,1216,1998,897,4500,5,12.007621706806335
484,5,999,1,999,264,999,1962,588,7758,7,11.794337924408413
485,5,1113,1,1113,264,1113,1950,607,9600,7,11.898187865760873
486,5,1073,2,1073,515,1073,1965,836,10289,7,11.957611286231675
487,5,1484,2,1484,487,1484,1971,998,12243,6,12.072541252905651
488,5,2414,2,954,520,1766,1900,664,10800,4,11.982929094215963
489,4,630,1,630,286,630,1970,515,1526,8,11.362102575235644
490,5,1304,1,264,336,616,1976,0,2665,6,11.652687407345388
491,6,1578,1,806,240,958,1941,403,9490,7,11.79810440720389
492,6,1456,2,728,429,728,2006,0,15578,5,12.059803326028716
493,5,1269,1,1269,308,1269,1960,374,7931,6,11.951180395901384
494,5,886,1,190,273,886,1938,0,5784,8,11.421906066583059
495,4,720,0,720,0,720,1920,495,7879,5,10.460242108190519
497,7,1820,1,1026,240,1133,1925,329,9120,6,12.122691036591123
498,5,899,1,864,288,899,1967,450,7800,7,11.77528972943772
499,5,912,1,912,297,912,1958,111,7535,7,11.695247021764184
500,6,1218,1,672,264,672,1973,356,1890,5,11.635143097694478
501,7,1768,2,866,603,866,2005,400,9803,5,12.33138283649562
502,5,1214,2,1214,461,1214,1965,698,9170,7,11.84939770159144
503,7,1801,2,1501,484,1801,1959,1247,15602,8,12.57418196709457
504,6,1322,2,855,440,855,1974,257,2308,5,11.898187865760873
505,5,1960,2,960,400,960,1952,0,7596,5,11.732060994886899
506,8,1911,2,777,471,1065,1993,380,9554,5,12.2783933071098
507,6,1218,2,1218,676,1218,2009,27,7862,5,12.246734627249063
508,7,1378,2,689,360,689,1928,141,9600,9,11.9891596439666
509,5,1041,1,1041,270,1041,1959,991,9600,6,11.732060994886899
510,5,1363,1,1008,288,1363,1951,650,14559,7,12.01309450854769
511,7,1368,2,1368,474,1368,2005,0,6792,5,12.219309648562168
512,5,864,2,864,624,864,1958,521,9100,5,11.77452020265869
513,6,1080,2,1084,484,1080,1983,336,9187,5,11.805595078933049
514,5,789,1,768,200,789,1926,0,10594,5,11.477298287327077
516,6,2119,2,689,583,1378,1972,0,10448,6,11.970350312009105
517,7,2344,3,1264,889,1277,1996,0,10208,5,12.487485104968359
518,6,1796,2,794,546,882,1998,706,9531,5,12.259613412458204
519,7,2080,1,1276,282,1276,1926,0,10918,9,12.363076394339839
521,6,1244,1,1244,336,1244,1957,777,11988,6,11.918390573078392
522,6,1664,2,1004,420,1004,1947,399,5000,7,11.976659481202368
524,7,2398,3,1379,834,1383,1996,719,11787,5,12.662706040212738
525,7,1266,2,1257,453,1266,2005,0,7500,5,12.078239274020289
526,5,928,1,928,252,928,1956,377,13300,7,11.790557201568507
527,9,2713,3,1452,858,1476,2008,1330,14948,5,13.008659261632127
528,4,605,0,528,0,605,1920,348,9098,7,11.362102575235644
530,6,1509,2,1461,600,1509,1988,783,10200,5,12.072541252905651
531,6,1362,2,611,502,751,1920,0,6155,8,11.759785542901755
534,8,1414,2,707,403,707,2004,0,9056,5,12.089538829274222
535,5,1347,0,1117,0,820,1910,969,7000,7,11.585246126549855
536,7,1724,2,880,527,880,1998,0,8924,5,12.144197241812087
537,4,864,2,864,576,864,1972,600,12735,5,11.619535200028487
538,5,1159,1,1051,336,1159,1968,673,11553,5,11.970350312009105
539,8,1601,2,1581,670,1601,2001,1358,11423,5,12.513557345278134
540,9,1838,3,1838,765,1838,2006,1260,14601,5,12.66032791780777
541,8,2285,3,969,648,997,2000,0,11000,5,12.421184025147118
542,7,1680,2,1650,583,1680,1998,144,10140,5,12.270220465353926
543,7,767,1,723,367,767,1998,584,4058,5,11.79810440720389
544,7,1496,2,654,426,664,2006,554,17104,5,12.09884928474215
545,7,2183,3,1204,786,1377,1988,1002,13837,5,12.341477282536376
546,6,1635,2,1065,440,915,1923,300,8737,7,12.254862809699606
547,5,768,2,768,624,768,1970,619,7244,7,11.771436160121729
548,5,825,2,825,720,825,1955,180,8235,7,11.736069016284437
549,7,2094,2,912,615,912,2003,0,9375,5,12.479909311159902
550,6,1069,2,1069,440,1069,1977,559,4043,6,11.84939770159144
551,5,928,1,928,288,928,1957,308,6000,6,11.630708500626612
554,7,2046,3,998,871,1006,2003,866,10625,5,12.556729517143344
555,5,1048,1,993,280,1048,1922,0,6380,6,11.635143097694478
556,5,1092,1,1092,299,1092,1957,895,14850,5,11.856515169360305
557,4,1336,1,637,570,897,1920,637,11040,6,11.589886506106357
558,7,1446,2,729,406,729,1996,604,21872,5,12.072541252905651
559,7,1557,2,1374,420,1557,2003,0,3196,5,12.363076394339839
560,5,1392,2,1392,528,1392,1957,1302,11341,6,11.70766954176274
561,5,1389,2,1389,418,1389,1974,1071,10010,5,12.043553716032399
562,5,996,0,996,0,996,1940,290,13907,6,11.589886506106357
563,6,1674,2,1163,396,1163,1918,0,21780,7,12.128111104060462
564,7,2295,2,1095,590,1166,1992,728,13346,5,12.498742259492994
565,6,1647,1,806,216,841,1915,0,6858,4,11.759785542901755
566,9,2504,3,1122,656,1134,2005,0,11198,5,12.691580461311874
567,7,1535,2,1517,532,1535,2004,2,10171,5,12.273731294003989
568,8,2132,2,1496,612,1496,1983,1441,12327,8,12.66539442642905
569,5,943,2,943,600,943,1979,943,7032,5,11.820116003810051
570,5,1728,2,1728,576,1728,1965,231,13101,5,11.867798786962332
571,6,864,1,864,288,864,1959,414,7332,6,11.695247021764184
572,7,1692,2,846,650,846,2009,0,13159,5,12.321630986164447
573,7,1430,2,384,400,774,2000,0,9967,5,12.043553716032399
574,5,1109,1,372,288,576,1971,349,10500,7,11.842229212112828
575,5,1216,1,832,336,832,1947,442,8480,5,11.682668239557323
576,7,1477,1,861,216,877,1928,0,6292,7,11.884489021402711
577,5,1320,2,1164,564,1320,1966,328,11777,6,12.010665849187564
578,7,1392,2,689,540,703,2007,0,3604,5,11.891361900690473
579,5,1795,1,1050,352,1050,1954,0,12150,5,11.786762130599957
580,6,1429,2,1144,572,1429,1960,594,14585,6,12.111212364506214
582,6,816,0,816,0,816,1990,816,11841,5,11.682668239557323
583,10,2775,2,1237,880,1521,1893,0,13500,9,12.691580461311874
584,4,1573,1,884,240,989,1935,0,6120,7,11.79810440720389
585,8,2028,3,1868,880,2028,2005,1460,11443,5,12.820987977820545
586,6,838,1,816,275,838,1918,210,10267,7,11.77528972943772
587,5,860,2,840,528,860,1982,672,8740,6,11.827736204810263
588,5,1473,1,1437,452,1473,1968,1324,25095,8,11.870599909242044
589,5,935,1,742,308,779,1930,0,9100,6,11.283512300642423
590,7,1582,2,770,520,770,2004,490,8320,5,12.132964173709535
591,10,2296,3,1722,842,1728,2008,1338,13478,5,13.021326833226556
592,5,816,2,816,816,816,1982,816,6600,8,11.835008964139341
593,6,848,2,848,420,848,2003,685,4435,5,11.84939770159144
594,5,924,1,924,280,924,1975,0,7990,6,11.608235644774552
595,8,1826,3,1814,758,1826,2005,1422,11302,5,12.672946381766982
596,6,1368,1,684,216,684,1910,0,3600,7,11.648365035864053
597,7,1402,3,1258,648,1402,2006,0,3922,5,12.17664898415669
598,5,1647,2,1430,621,1647,1977,1283,12984,6,12.289954129510877
599,6,1556,2,716,452,716,1980,81,1950,6,11.925035115797062
600,8,1904,2,1058,736,1058,2005,546,10927,5,12.524526376648708
601,6,1375,1,780,544,780,1937,0,9000,6,11.856515169360305
602,8,1915,2,908,506,927,1992,789,10041,5,12.301382825334498
603,7,1200,2,600,480,600,2004,0,3182,5,11.925035115797062
604,7,1494,2,1494,530,1494,2002,922,12803,5,12.30591798049989
605,7,1986,2,768,486,1186,1965,454,13600,6,12.230765258120545
606,5,1040,2,1040,576,1040,1996,732,12464,5,11.931635799828413
607,5,2008,1,896,230,1112,1948,603,7800,8,12.323855681186558
608,8,3194,2,965,380,1940,1934,428,12168,6,12.791356180214175
609,4,1029,1,1029,261,1029,1961,903,7943,5,11.682668239557323
610,9,2153,3,1440,736,1476,2000,904,11050,5,12.65395846952229
611,6,1032,2,1032,564,1032,1978,605,10395,6,11.904967552746252
612,8,1872,2,1299,531,1299,2001,990,11885,5,12.474189562487116
613,5,1120,0,1120,0,1120,2007,206,8402,5,11.898187865760873
614,4,630,0,630,0,630,1972,150,1491,6,11.231887935237117
615,6,1054,2,936,480,1054,1963,763,8800,7,11.831379196088763
616,6,1509,2,783,393,807,2002,457,7861,5,12.118333731222167
617,6,832,2,832,528,832,1954,0,7227,6,11.566466231898259
619,8,2262,3,1482,749,1482,2003,871,12244,5,12.628067055589549
620,3,864,0,864,0,864,1914,41,8248,3,11.112447898373103
621,6,2614,2,1522,624,1548,1974,956,10800,7,12.388394202324129
622,5,980,2,980,484,980,1977,560,7064,6,11.813030057420567
623,6,1512,2,756,440,756,2000,420,2117,5,12.034691028774553
624,6,1790,2,732,484,1012,1972,247,10400,5,12.014609430818936
625,6,1116,2,1116,440,1116,1962,0,10000,6,11.982929094215963
626,5,1422,1,978,286,1422,1960,0,12342,5,11.848683160653573
627,6,1520,1,1156,364,1520,1955,674,9600,6,11.938193200374572
628,5,2080,2,1040,504,1040,1969,650,11606,5,11.813030057420567
629,6,1350,2,1248,520,1350,1964,624,9020,5,12.034691028774553
630,5,1750,1,636,240,1089,1880,0,9000,6,11.728036844587175
631,8,1554,2,1554,627,1554,2006,24,4590,5,12.25247901834433
632,7,1411,2,1386,544,1411,1977,822,11900,5,11.320553572322773
633,5,1056,1,1056,260,1056,1954,480,9250,7,11.845102777308561
634,6,1056,2,1056,576,1056,1980,1056,6979,5,11.877568578558138
635,6,3395,0,1440,0,1440,1914,256,10896,7,12.206072645530174
636,2,800,0,264,0,800,1936,0,6120,3,11.002099841204238
637,5,1387,1,811,256,811,1954,0,6000,4,11.440354772135393
638,5,796,0,796,0,796,1910,0,8777,7,11.350406535472453
639,8,1567,3,1520,648,1567,2006,1154,3982,5,12.485827127509431
640,8,1518,2,1518,588,1518,2003,1218,12677,5,12.520883385370206
641,7,1929,2,1057,650,1057,2001,738,7050,5,12.328290278254423
642,8,2704,2,1952,538,2000,1972,1410,13860,7,12.751299696013497
643,5,1620,2,780,462,780,1969,493,10793,5,11.931635799828413
644,9,1766,3,1766,478,1766,2009,1121,9187,5,12.823628446539173
645,6,981,2,981,576,981,1971,282,10530,5,11.872346634576987
647,6,1094,2,1094,495,1094,1953,500,10452,5,11.951180395901384
648,6,1839,2,756,442,1051,1966,0,7700,5,11.951180395901384
649,4,630,0,630,0,630,1970,131,1936,6,11.344506813345266
650,7,1665,2,813,562,822,2007,0,8125,6,12.235388699864227
651,4,1510,1,755,296,755,1940,0,9084,5,11.589886506106357
652,7,1716,2,880,512,909,1996,0,8750,5,12.160028707028767
653,6,1469,1,756,216,756,1906,0,10320,7,11.813030057420567
655,6,1092,1,525,264,525,1971,0,1680,5,11.385092093460344
656,5,1053,1,1053,312,1053,1959,806,10007,7,11.887931365593685
657,7,1502,1,776,270,851,1931,0,7200,6,11.911701584927597
658,6,1458,1,912,330,912,1948,0,17503,5,11.487607656985938
659,5,1486,2,1486,480,1486,1964,637,9937,7,12.025749091398891
660,7,1935,2,793,550,1142,1976,0,12384,7,12.195517131590657
661,8,2448,3,1629,711,1686,1994,1361,46589,7,12.904207367601158
662,6,1392,2,1392,576,1392,1968,0,13560,3,11.608235644774552
663,4,1181,2,1138,588,1181,1972,920,10012,5,11.831379196088763
665,8,1936,2,1406,504,1454,2000,0,11194,5,12.348006141418841
666,6,2380,2,1021,596,1465,1965,187,18450,5,11.76756768334381
667,6,1679,2,1408,575,1679,1994,1138,8125,5,12.173032791451973
668,5,1437,2,1188,576,1437,1956,988,14175,6,12.031719258385396
669,4,1180,1,700,252,1180,1922,0,11600,5,11.831379196088763
670,6,1476,2,738,540,738,2005,193,8633,5,12.063932878369052
671,6,1369,1,672,300,697,1925,551,6629,6,11.54829260880752
672,6,1208,2,1208,546,1208,1977,767,11250,6,12.013700752882718
673,6,1839,2,1477,416,1839,1957,1186,14442,7,12.458774999085929
674,6,1136,1,1136,384,1136,1965,892,9200,6,11.84939770159144
675,6,1441,2,855,440,855,1978,311,2289,6,11.908340237224891
676,4,1774,3,1095,779,1095,1900,0,9600,2,11.37366339763672
677,5,792,1,768,240,792,1924,0,9022,8,11.603679828238693
679,5,988,2,988,572,988,1961,827,9945,5,11.763684183317412
680,6,923,1,923,264,923,1980,543,8012,5,11.870599909242044
681,5,1520,1,793,281,848,1932,182,4500,5,11.979385322467598
682,6,1291,2,1291,431,1291,1996,1003,2887,5,12.061046873479915
683,9,1668,3,1626,702,1668,2002,1059,11248,5,12.560244459250788
684,7,1839,2,1195,486,1195,1998,0,16770,5,12.30591798049989
685,7,2090,2,1190,577,1190,1984,828,5062,5,12.24288661865289
686,7,1761,2,874,578,874,2007,0,10207,6,12.336552511980964
687,7,1102,2,551,480,551,2004,239,5105,5,11.910358401381128
688,8,1419,2,1419,567,1419,2007,945,8089,6,12.8790171187726
689,6,1362,2,1362,460,1362,2005,20,7577,5,12.17921519136029
690,6,848,2,848,420,848,2004,697,4426,5,11.856515169360305
692,7,2519,2,1210,628,1238,1989,965,26178,5,12.721885810807203
693,5,1073,1,1073,326,1073,1921,0,5400,6,11.594321103174222
694,5,1539,2,927,576,1067,1936,0,6120,6,11.86005499606543
695,6,1137,2,1112,551,1137,1987,980,13811,6,12.078239274020289
696,5,616,1,616,205,616,1921,616,6000,7,11.396391648714276
697,5,1148,1,980,308,1148,1952,210,6420,7,11.72399643505017
698,5,894,1,894,336,894,1965,553,8450,8,11.83862560460953
699,7,1391,2,1391,530,1391,2004,16,4282,5,12.185869938212655
700,8,1800,3,1800,765,1800,2002,1274,14331,5,12.652359748158593
701,7,1164,2,1164,528,1164,1969,0,9600,5,11.84939770159144
702,8,2576,3,1234,666,1264,2006,0,12438,5,12.799175708864519
703,5,1812,2,360,672,1032,1900,0,7630,9,11.84939770159144
704,7,1484,2,1473,606,1484,2004,712,8400,5,12.269047444691562
706,7,1824,2,1643,739,1824,1971,1219,115149,5,12.618182296357007
707,8,1324,2,1324,550,1324,2006,863,6240,5,12.445089546000673
708,7,1456,2,728,400,728,2007,0,9018,5,12.09815330331068
709,5,904,1,876,408,904,1966,0,7162,7,11.607326140391713
710,3,729,0,270,0,729,1935,0,4130,6,10.858998997563564
711,4,1178,1,859,384,859,1900,0,8712,7,11.540307141711446
712,8,1228,2,1228,472,1228,1988,767,4671,5,12.14950229404178
713,4,960,2,960,576,960,1970,789,9873,5,11.76756768334381
714,6,1479,2,725,475,725,1976,533,13517,8,11.779128505744886
715,6,1350,2,1064,478,1350,1974,0,10140,5,12.013700752882718
716,7,2554,2,718,704,1576,1890,0,10800,8,11.979799201207037
717,5,1178,2,1176,439,1178,1973,1084,10000,6,11.964001084330445
718,7,2418,3,1311,983,1325,1993,1173,10542,5,12.739637756265655
719,5,971,1,971,300,971,1969,523,9920,6,11.763684183317412
720,8,1742,2,1742,564,1742,1985,1148,6563,5,12.524526376648708
721,6,848,2,848,420,848,2004,662,4426,5,11.870599909242044
722,4,864,2,864,463,864,1970,191,8120,7,11.732060994886899
723,4,1470,1,941,548,997,1954,0,8172,6,11.813030057420567
724,9,1698,3,1698,768,1698,2007,1234,13286,5,12.676076274775909
725,4,864,2,864,660,864,1970,375,6960,6,11.699405031912846
726,6,1680,2,880,540,1680,1988,808,21695,9,12.310432660854417
727,7,1232,2,1232,632,1232,2007,724,7314,5,12.178187442040638
728,5,1776,3,1584,888,1776,1958,0,11475,5,11.608235644774552
729,4,1208,2,780,539,848,1925,152,6240,5,11.542484267211773
730,8,1616,2,1595,608,1616,1995,1180,5389,5,12.373703486914124
731,7,1146,2,868,438,1146,2003,786,9590,5,12.141534124392603
732,7,2031,2,1153,541,1153,1998,252,11404,5,12.312682380588432
733,5,1144,1,864,264,1144,1961,594,10000,6,11.786001385032646
734,5,948,1,948,300,948,1968,0,8978,5,11.589886506106357
735,7,1768,2,880,320,880,1914,390,10800,7,12.0015054797889
737,8,1801,3,893,800,901,2005,0,10463,5,12.387977448827787
738,5,1200,0,1200,0,1200,1987,1200,10800,5,12.095141084822892
739,7,1728,2,864,572,864,2004,0,9313,5,12.154779351142624
740,5,1432,2,264,360,768,1910,0,9600,7,11.790557201568507
741,6,912,1,912,288,912,1961,832,6768,8,11.863582336583399
742,7,1349,2,1349,539,1349,2000,0,8450,5,12.095141084822892
743,5,1464,2,520,480,1464,1963,444,12886,6,12.072541252905651
744,8,1337,2,1337,462,1337,1993,733,5395,5,12.100712129872347
745,8,2715,2,1142,831,1175,1976,575,8963,9,12.610870864650634
746,7,2256,2,952,554,980,2000,300,8795,5,12.371587084007746
747,7,2640,4,1240,864,1320,1880,0,11700,7,12.491172637278908
748,7,1720,2,1720,527,1720,1996,919,10593,5,12.46997418931655
750,4,1140,0,576,0,792,1910,0,8800,7,11.477298287327077
751,7,1320,2,660,400,660,2003,0,7750,5,11.99535161421452
752,6,1494,2,1479,576,1494,1997,1200,9236,5,12.287652632522597
753,8,2098,3,1030,878,1038,2005,0,10240,5,12.526342907575106
754,6,1026,2,1026,440,1026,1969,439,7930,8,11.957611286231675
755,6,1471,2,729,440,742,1999,381,3230,5,12.058152515453552
756,8,1768,2,866,578,866,2007,20,10769,5,12.26434155365415
757,6,1386,2,672,440,672,1978,438,11616,5,11.976030352524807
758,7,1501,2,744,440,757,1999,549,2280,5,12.097373228606832
759,8,2531,3,1318,752,1328,1995,56,12257,5,12.577636201962656
760,6,864,1,864,300,864,1959,612,9100,6,11.755871643580617
761,5,1301,2,1145,440,1301,1924,405,6911,5,11.512925464970229
762,7,1547,2,756,614,764,2009,24,8640,5,12.279323107269766
763,8,2365,3,1252,856,1268,1999,1163,9430,5,12.727838209334498
764,8,1494,2,1494,481,1494,1995,437,9549,5,12.506177237980511
765,9,1506,2,1498,592,1506,2008,0,14587,5,12.484204257170104
766,7,1714,2,980,496,980,1988,394,10421,5,12.188417710291453
767,6,1750,1,983,423,983,1940,660,12508,7,11.982929094215963
769,8,3279,3,1650,841,1690,2003,1416,53504,5,13.195613839143922
770,5,858,2,858,576,858,1982,685,7252,5,11.812289042195847
771,4,1220,2,836,396,1220,1951,836,8877,5,11.532728092266408
772,6,1117,2,1029,672,1117,1976,422,7819,5,11.580584113444043
773,5,912,1,912,275,912,1958,456,10150,5,11.648330101976432
775,6,1204,2,1204,412,1204,1998,866,4500,5,11.99535161421452
776,7,1614,3,1614,865,1614,2005,20,11210,5,12.308177868467327
777,5,894,2,864,440,894,1974,762,13350,5,11.867097278690842
779,6,1004,2,975,504,1004,1977,975,10530,5,11.813030057420567
780,7,1253,2,1237,402,1253,1995,0,7875,5,12.078239274020289
781,6,1603,2,761,484,810,1992,387,7153,5,12.077670930725649
782,7,1430,2,1413,605,1430,2001,0,16285,5,12.139398512262181
783,5,1110,2,1097,602,1110,1978,1097,9101,6,12.016726473799254
784,6,1484,0,742,0,742,1914,0,6300,6,11.759785542901755
785,6,1342,2,1372,457,1342,1967,251,9790,5,11.992260421644849
786,5,1652,1,686,416,966,1915,686,10800,6,11.842229212112828
787,7,2084,2,956,618,956,2004,656,10142,5,12.358793732547838
788,4,901,1,901,281,901,1954,0,6000,7,11.588960151246226
789,6,2087,2,832,444,976,1966,568,12205,8,12.141534124392603
790,7,1145,2,1145,397,1145,2005,16,3182,5,11.984178313616395
791,6,1062,2,1029,539,1062,1976,539,11333,5,11.896826395162552
792,7,2013,2,1117,455,1127,1996,862,9920,5,12.50539915757667
793,8,1496,2,1496,474,1496,2007,0,9158,5,12.323855681186558
794,7,1895,2,712,409,1086,1994,0,10832,5,12.178187442040638
795,6,1564,2,650,476,888,1980,0,8400,6,12.049418835484797
796,6,1285,2,660,528,1285,1977,0,8197,5,11.874090314181814
797,5,773,1,773,240,773,1953,570,7677,5,11.608235644774552
799,5,1768,1,731,240,981,1937,569,7200,7,12.072541252905651
800,6,1688,2,616,603,616,1997,462,12798,5,12.206072645530174
801,4,1196,2,1196,440,1196,1916,197,4800,7,11.607326140391713
802,7,1456,2,728,410,728,2005,648,8199,5,12.14950229404178
804,5,1128,1,936,286,1128,1954,812,9000,5,11.678439903447801
805,7,1428,2,1417,554,1428,2008,0,12274,5,12.33569641332368
806,5,980,1,980,384,980,1967,400,9750,5,11.816726919301892
807,5,1576,2,1324,528,1072,1923,1309,21384,6,12.31716669303576
808,5,1086,2,1024,484,1086,1966,516,13400,5,11.982616545377663
809,5,2138,2,849,360,1075,1898,0,8100,5,11.571194373094205
810,6,1309,2,1040,484,1309,1974,663,10140,6,12.106252310247962
811,6,848,2,848,420,848,2004,662,4438,5,11.881034786534624
812,5,1044,2,540,504,1044,1952,0,8712,5,10.932981961904135
813,6,1442,1,1442,301,1442,1958,608,9750,6,11.969717200243734
814,5,1250,1,686,280,686,1918,0,8248,7,11.661345470088502
815,7,1661,2,1649,598,1661,1998,0,12137,5,12.323411137947407
816,5,1008,1,1008,275,1008,1954,486,11425,6,11.827736204810263
817,8,1689,3,1568,857,1689,2002,1218,13265,5,12.509874099861838
818,6,1052,2,1010,440,1052,1971,504,8816,7,11.951180395901384
819,7,1358,2,1358,484,1358,2009,733,6371,5,12.319401330837177
820,7,1640,2,798,595,798,2003,0,7226,5,12.117241431823558
821,4,936,2,936,576,936,1953,0,6000,4,11.440354772135393
822,7,1733,2,847,433,847,2003,0,12394,5,12.323855681186558
823,6,1489,1,778,240,944,1940,0,9900,7,11.845819880243557
824,8,1489,2,1489,776,1489,2006,0,11216,5,12.3570755190667
826,5,784,0,784,0,784,1924,784,6130,6,11.603679828238693
827,7,1434,2,1454,527,1434,2001,20,8529,5,12.14950229404178
828,5,2126,2,1013,538,1160,1967,249,28698,5,12.128111104060462
829,7,1223,2,600,480,520,2005,0,2544,5,11.900905258737373
830,6,1392,2,1392,458,1392,1957,1040,11900,5,12.01974306733868
831,7,1200,2,600,480,520,2005,0,3180,5,11.925035115797062
832,7,1829,2,941,613,941,2003,483,9548,6,12.375815420117268
833,6,1516,2,1516,472,1516,1964,196,10004,6,12.025749091398891
834,5,1144,2,1144,456,1144,1961,572,7875,6,11.8490404949436
835,4,1067,2,1067,436,1067,1950,442,9600,7,11.759785542901755
836,5,1559,2,1559,812,1559,1948,338,8100,6,11.941455846009388
837,6,987,1,483,264,483,1973,330,1680,5,11.512925464970229
838,5,1099,1,1099,352,1099,1995,0,9525,6,11.877568578558138
839,5,1200,1,768,240,768,1946,352,11767,6,11.779128505744886
840,6,1482,1,672,400,810,1925,156,12155,8,11.84939770159144
841,5,1539,2,650,686,958,1904,0,10440,8,11.967180737247824
842,6,1165,2,1127,490,1165,1966,312,9020,7,12.071969661006694
844,5,1416,3,876,720,876,1915,0,12665,8,11.94405831982697
845,5,1701,2,1390,611,1701,1975,1390,16647,5,12.049418835484797
846,7,1775,2,740,425,1006,1993,513,9317,5,12.269047444691562
847,5,864,1,864,338,864,1972,460,15523,6,11.801856756822442
848,6,2358,2,907,360,1307,1908,0,45600,8,12.388394202324129
849,6,1855,2,528,512,1094,1976,0,9600,7,12.138863895836725
850,6,848,2,848,420,848,2003,659,4435,5,11.786762130599957
851,8,1456,2,1273,400,1456,2003,0,3196,5,12.2783933071098
852,7,1646,1,918,240,918,1941,364,7128,5,12.007621706806335
853,6,1445,2,1127,645,1445,1964,564,12095,6,11.970350312009105
854,5,1779,2,1763,454,1779,1955,306,17920,4,12.043553716032399
855,5,1040,1,1040,260,1040,1962,659,6897,8,11.751942365440728
856,6,1026,2,940,576,1026,1978,505,10970,6,11.898187865760873
857,6,1481,2,702,343,702,1994,0,8125,5,12.066810578196666
858,7,1370,2,1090,479,1370,1976,0,10400,5,11.931635799828413
859,6,2654,2,1054,619,1512,1968,619,11029,7,12.429216196844383
860,7,1426,1,912,216,912,1918,0,7642,8,12.154516158615772
861,5,1039,2,1039,504,1039,1965,841,11625,4,11.786762130599957
862,6,1097,2,1040,480,1097,1984,338,9672,5,11.931635799828413
863,5,1148,1,1148,672,1148,1959,1148,7931,5,11.794337924408413
864,7,1372,2,1372,529,1372,2007,0,8640,5,12.431533509799543
865,5,1002,2,1002,902,1002,1970,828,8750,6,11.908340237224891
866,8,1646,3,1638,870,1646,2006,0,10656,5,12.424806488355683
867,4,1120,2,1040,544,1120,1961,932,6970,5,11.76756768334381
869,7,1949,2,1050,574,1062,1993,750,9938,5,12.371587084007746
