,OverallQual,GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,1stFlrSF,BsmtFinSF1,LotArea,CentralAir,OverallCond,SalePrice_log
432,5,1365,1971,2,765,765,471,1920,1,5,11.715866308966918
433,6,1604,1997,2,926,926,0,10839,1,5,12.106252310247962
434,4,630,1972,0,630,630,495,1890,1,7,11.302204433654575
435,7,1661,1996,2,799,827,385,10667,1,6,12.26434155365415
436,6,1118,1920,2,648,734,0,4400,1,8,11.661345470088502
437,6,904,1926,1,884,904,0,6000,1,7,11.686878772093667
438,5,694,1913,1,440,694,365,4280,2,6,11.411446296020374
439,6,1196,1920,2,684,684,0,12354,1,8,11.608235644774552
441,4,1440,1955,0,1440,1440,133,12108,2,4,11.678439903447801
442,5,1573,1930,2,1078,1128,0,6240,1,7,12.000891794590137
443,7,1258,2006,3,1258,1258,0,3922,1,5,12.058152515453552
444,7,1908,1994,2,915,933,642,8750,1,5,12.254862809699606
445,6,1689,1956,2,1436,1689,0,9855,1,5,11.755871643580617
446,6,1888,1966,2,1517,1888,247,16492,1,6,12.154779351142624
447,7,1886,1998,2,930,956,0,11214,1,5,12.205572520488492
448,6,1376,1937,1,780,780,0,8600,1,6,11.691071650353702
449,3,1183,1948,1,649,679,331,6000,1,7,11.695247021764184
450,6,813,1930,1,813,813,0,5684,1,8,11.608235644774552
451,7,1533,1975,2,1533,1533,655,70761,1,5,12.542544882151386
452,6,1756,1996,2,872,888,742,9303,1,5,12.225875272826354
453,8,1590,2008,2,768,786,0,9000,1,5,12.254862809699606
454,5,1728,1976,2,1728,1728,1606,9297,1,5,12.144197241812087
455,7,1242,1973,2,1242,1242,916,9600,1,6,12.075394321888057
456,5,1344,1916,3,624,624,0,4571,2,5,11.49272275765271
457,4,1663,1954,2,1364,1663,1116,53227,1,6,12.4529327234617
458,8,1666,1925,1,588,833,0,5100,1,7,11.9891596439666
459,5,1203,1950,1,709,979,185,7015,1,4,11.608235644774552
460,8,1935,2009,2,832,832,544,8004,1,5,12.481561937216318
461,7,1135,1936,2,560,575,350,7200,1,9,11.951180395901384
462,5,864,1965,1,864,864,553,8281,1,5,11.041048081342682
463,6,1660,1934,1,715,849,326,11988,1,7,12.147913731356642
464,5,1040,1978,0,1040,1040,616,8430,1,5,11.728036844587175
465,7,1414,2004,2,1375,1414,0,3072,1,5,12.093687514935382
466,7,1277,1970,2,1277,1277,778,10628,1,5,12.025749091398891
467,5,1644,1942,1,728,888,386,9480,1,7,11.894780707439258
468,8,1634,2006,3,1626,1634,0,11428,1,5,12.429216196844383
469,6,1710,1993,2,832,832,426,9291,1,5,12.138863895836725
470,8,1502,1985,2,1488,1502,368,6820,1,5,12.26434155365415
471,7,1969,1977,2,808,1161,0,11952,1,6,12.154779351142624
472,6,1072,2005,2,547,1072,459,3675,1,5,11.904967552746252
473,8,1976,2006,3,1976,1976,1350,14977,1,5,12.994530005894443
474,8,1652,2000,2,1494,1652,1196,5330,1,5,12.43320821811392
475,5,970,1963,2,970,970,630,8480,1,6,11.794337924408413
476,6,1493,1997,2,1478,1493,994,13125,1,5,12.249610947544657
478,8,1718,2007,3,1705,1718,1288,10637,1,5,12.601487417784837
479,4,1131,1937,2,907,1131,168,5925,1,7,11.401669829409995
480,9,1850,2004,3,1833,1850,1261,16033,1,5,12.694652660348845
481,9,1792,2003,3,1792,1792,1567,11846,1,5,12.832011076396668
482,7,1826,1915,1,910,916,299,2500,1,8,11.951180395901384
483,6,1216,1998,2,1216,1216,897,4500,1,5,12.007621706806335
484,5,999,1962,1,999,999,588,7758,1,7,11.794337924408413
485,5,1113,1950,1,1113,1113,607,9600,1,7,11.898187865760873
486,5,1073,1965,2,1073,1073,836,10289,1,7,11.957611286231675
487,5,1484,1971,2,1484,1484,998,12243,1,6,12.072541252905651
488,5,2414,1900,2,954,1766,664,10800,2,4,11.982929094215963
489,4,630,1970,1,630,630,515,1526,1,8,11.362102575235644
490,5,1304,1976,1,264,616,0,2665,1,6,11.652687407345388
491,6,1578,1941,1,806,958,403,9490,1,7,11.79810440720389
492,6,1456,2006,2,728,728,0,15578,1,5,12.059803326028716
493,5,1269,1960,1,1269,1269,374,7931,1,6,11.951180395901384
494,5,886,1938,1,190,886,0,5784,1,8,11.421906066583059
495,4,720,1920,0,720,720,495,7879,2,5,10.460242108190519
497,7,1820,1925,1,1026,1133,329,9120,1,6,12.122691036591123
498,5,899,1967,1,864,899,450,7800,1,7,11.77528972943772
499,5,912,1958,1,912,912,111,7535,1,7,11.695247021764184
500,6,1218,1973,1,672,672,356,1890,1,5,11.635143097694478
501,7,1768,2005,2,866,866,400,9803,1,5,12.33138283649562
502,5,1214,1965,2,1214,1214,698,9170,1,7,11.84939770159144
503,7,1801,1959,2,1501,1801,1247,15602,1,8,12.57418196709457
504,6,1322,1974,2,855,855,257,2308,1,5,11.898187865760873
505,5,1960,1952,2,960,960,0,7596,1,5,11.732060994886899
506,8,1911,1993,2,777,1065,380,9554,1,5,12.2783933071098
507,6,1218,2009,2,1218,1218,27,7862,1,5,12.246734627249063
508,7,1378,1928,2,689,689,141,9600,1,9,11.9891596439666
509,5,1041,1959,1,1041,1041,991,9600,1,6,11.732060994886899
510,5,1363,1951,1,1008,1363,650,14559,1,7,12.01309450854769
511,7,1368,2005,2,1368,1368,0,6792,1,5,12.219309648562168
512,5,864,1958,2,864,864,521,9100,1,5,11.77452020265869
513,6,1080,1983,2,1084,1080,336,9187,1,5,11.805595078933049
514,5,789,1926,1,768,789,0,10594,2,5,11.477298287327077
516,6,2119,1972,2,689,1378,0,10448,1,6,11.970350312009105
517,7,2344,1996,3,1264,1277,0,10208,1,5,12.487485104968359
518,6,1796,1998,2,794,882,706,9531,1,5,12.259613412458204
519,7,2080,1926,1,1276,1276,0,10918,1,9,12.363076394339839
521,6,1244,1957,1,1244,1244,777,11988,1,6,11.918390573078392
522,6,1664,1947,2,1004,1004,399,5000,1,7,11.976659481202368
524,7,2398,1996,3,1379,1383,719,11787,1,5,12.662706040212738
525,7,1266,2005,2,1257,1266,0,7500,1,5,12.078239274020289
526,5,928,1956,1,928,928,377,13300,1,7,11.790557201568507
527,9,2713,2008,3,1452,1476,1330,14948,1,5,13.008659261632127
528,4,605,1920,0,528,605,348,9098,1,7,11.362102575235644
530,6,1509,1988,2,1461,1509,783,10200,1,5,12.072541252905651
531,6,1362,1920,2,611,751,0,6155,1,8,11.759785542901755
534,8,1414,2004,2,707,707,0,9056,1,5,12.089538829274222
535,5,1347,1910,0,1117,820,969,7000,1,7,11.585246126549855
536,7,1724,1998,2,880,880,0,8924,1,5,12.144197241812087
537,4,864,1972,2,864,864,600,12735,1,5,11.619535200028487
538,5,1159,1968,1,1051,1159,673,11553,1,5,11.970350312009105
539,8,1601,2001,2,1581,1601,1358,11423,1,5,12.513557345278134
540,9,1838,2006,3,1838,1838,1260,14601,1,5,12.66032791780777
541,8,2285,2000,3,969,997,0,11000,1,5,12.421184025147118
542,7,1680,1998,2,1650,1680,144,10140,1,5,12.270220465353926
543,7,767,1998,1,723,767,584,4058,1,5,11.79810440720389
544,7,1496,2006,2,654,664,554,17104,1,5,12.09884928474215
545,7,2183,1988,3,1204,1377,1002,13837,1,5,12.341477282536376
546,6,1635,1923,2,1065,915,300,8737,1,7,12.254862809699606
547,5,768,1970,2,768,768,619,7244,1,7,11.771436160121729
548,5,825,1955,2,825,825,180,8235,1,7,11.736069016284437
549,7,2094,2003,2,912,912,0,9375,1,5,12.479909311159902
550,6,1069,1977,2,1069,1069,559,4043,1,6,11.84939770159144
551,5,928,1957,1,928,928,308,6000,1,6,11.630708500626612
554,7,2046,2003,3,998,1006,866,10625,1,5,12.556729517143344
555,5,1048,1922,1,993,1048,0,6380,1,6,11.635143097694478
556,5,1092,1957,1,1092,1092,895,14850,1,5,11.856515169360305
557,4,1336,1920,1,637,897,637,11040,1,6,11.589886506106357
558,7,1446,1996,2,729,729,604,21872,1,5,12.072541252905651
559,7,1557,2003,2,1374,1557,0,3196,1,5,12.363076394339839
560,5,1392,1957,2,1392,1392,1302,11341,1,6,11.70766954176274
561,5,1389,1974,2,1389,1389,1071,10010,1,5,12.043553716032399
562,5,996,1940,0,996,996,290,13907,1,6,11.589886506106357
563,6,1674,1918,2,1163,1163,0,21780,1,7,12.128111104060462
564,7,2295,1992,2,1095,1166,728,13346,1,5,12.498742259492994
565,6,1647,1915,1,806,841,0,6858,2,4,11.759785542901755
566,9,2504,2005,3,1122,1134,0,11198,1,5,12.691580461311874
567,7,1535,2004,2,1517,1535,2,10171,1,5,12.273731294003989
568,8,2132,1983,2,1496,1496,1441,12327,1,8,12.66539442642905
569,5,943,1979,2,943,943,943,7032,1,5,11.820116003810051
570,5,1728,1965,2,1728,1728,231,13101,1,5,11.867798786962332
571,6,864,1959,1,864,864,414,7332,1,6,11.695247021764184
572,7,1692,2009,2,846,846,0,13159,1,5,12.321630986164447
573,7,1430,2000,2,384,774,0,9967,1,5,12.043553716032399
574,5,1109,1971,1,372,576,349,10500,1,7,11.842229212112828
575,5,1216,1947,1,832,832,442,8480,1,5,11.682668239557323
576,7,1477,1928,1,861,877,0,6292,1,7,11.884489021402711
577,5,1320,1966,2,1164,1320,328,11777,1,6,12.010665849187564
578,7,1392,2007,2,689,703,0,3604,1,5,11.891361900690473
579,5,1795,1954,1,1050,1050,0,12150,2,5,11.786762130599957
580,6,1429,1960,2,1144,1429,594,14585,1,6,12.111212364506214
582,6,816,1990,0,816,816,816,11841,1,5,11.682668239557323
583,10,2775,1893,2,1237,1521,0,13500,1,9,12.691580461311874
584,4,1573,1935,1,884,989,0,6120,1,7,11.79810440720389
585,8,2028,2005,3,1868,2028,1460,11443,1,5,12.820987977820545
586,6,838,1918,1,816,838,210,10267,1,7,11.77528972943772
587,5,860,1982,2,840,860,672,8740,1,6,11.827736204810263
588,5,1473,1968,1,1437,1473,1324,25095,1,8,11.870599909242044
589,5,935,1930,1,742,779,0,9100,1,6,11.283512300642423
590,7,1582,2004,2,770,770,490,8320,1,5,12.132964173709535
591,10,2296,2008,3,1722,1728,1338,13478,1,5,13.021326833226556
592,5,816,1982,2,816,816,816,6600,1,8,11.835008964139341
593,6,848,2003,2,848,848,685,4435,1,5,11.84939770159144
594,5,924,1975,1,924,924,0,7990,1,6,11.608235644774552
595,8,1826,2005,3,1814,1826,1422,11302,1,5,12.672946381766982
596,6,1368,1910,1,684,684,0,3600,2,7,11.648365035864053
597,7,1402,2006,3,1258,1402,0,3922,1,5,12.17664898415669
598,5,1647,1977,2,1430,1647,1283,12984,1,6,12.289954129510877
599,6,1556,1980,2,716,716,81,1950,1,6,11.925035115797062
600,8,1904,2005,2,1058,1058,546,10927,1,5,12.524526376648708
601,6,1375,1937,1,780,780,0,9000,1,6,11.856515169360305
602,8,1915,1992,2,908,927,789,10041,1,5,12.301382825334498
603,7,1200,2004,2,600,600,0,3182,1,5,11.925035115797062
604,7,1494,2002,2,1494,1494,922,12803,1,5,12.30591798049989
605,7,1986,1965,2,768,1186,454,13600,1,6,12.230765258120545
606,5,1040,1996,2,1040,1040,732,12464,1,5,11.931635799828413
607,5,2008,1948,1,896,1112,603,7800,1,8,12.323855681186558
608,8,3194,1934,2,965,1940,428,12168,1,6,12.791356180214175
609,4,1029,1961,1,1029,1029,903,7943,1,5,11.682668239557323
610,9,2153,2000,3,1440,1476,904,11050,1,5,12.65395846952229
611,6,1032,1978,2,1032,1032,605,10395,1,6,11.904967552746252
612,8,1872,2001,2,1299,1299,990,11885,1,5,12.474189562487116
613,5,1120,2007,0,1120,1120,206,8402,1,5,11.898187865760873
614,4,630,1972,0,630,630,150,1491,1,6,11.231887935237117
615,6,1054,1963,2,936,1054,763,8800,1,7,11.831379196088763
616,6,1509,2002,2,783,807,457,7861,1,5,12.118333731222167
617,6,832,1954,2,832,832,0,7227,1,6,11.566466231898259
619,8,2262,2003,3,1482,1482,871,12244,1,5,12.628067055589549
620,3,864,1914,0,864,864,41,8248,2,3,11.112447898373103
621,6,2614,1974,2,1522,1548,956,10800,1,7,12.388394202324129
622,5,980,1977,2,980,980,560,7064,1,6,11.813030057420567
623,6,1512,2000,2,756,756,420,2117,1,5,12.034691028774553
624,6,1790,1972,2,732,1012,247,10400,1,5,12.014609430818936
625,6,1116,1962,2,1116,1116,0,10000,1,6,11.982929094215963
626,5,1422,1960,1,978,1422,0,12342,1,5,11.848683160653573
627,6,1520,1955,1,1156,1520,674,9600,1,6,11.938193200374572
628,5,2080,1969,2,1040,1040,650,11606,1,5,11.813030057420567
629,6,1350,1964,2,1248,1350,624,9020,1,5,12.034691028774553
630,5,1750,1880,1,636,1089,0,9000,1,6,11.728036844587175
631,8,1554,2006,2,1554,1554,24,4590,1,5,12.25247901834433
632,7,1411,1977,2,1386,1411,822,11900,1,5,11.320553572322773
633,5,1056,1954,1,1056,1056,480,9250,1,7,11.845102777308561
634,6,1056,1980,2,1056,1056,1056,6979,1,5,11.877568578558138
635,6,3395,1914,0,1440,1440,256,10896,1,7,12.206072645530174
636,2,800,1936,0,264,800,0,6120,2,3,11.002099841204238
637,5,1387,1954,1,811,811,0,6000,1,4,11.440354772135393
638,5,796,1910,0,796,796,0,8777,1,7,11.350406535472453
639,8,1567,2006,3,1520,1567,1154,3982,1,5,12.485827127509431
640,8,1518,2003,2,1518,1518,1218,12677,1,5,12.520883385370206
641,7,1929,2001,2,1057,1057,738,7050,1,5,12.328290278254423
642,8,2704,1972,2,1952,2000,1410,13860,1,7,12.751299696013497
643,5,1620,1969,2,780,780,493,10793,1,5,11.931635799828413
644,9,1766,2009,3,1766,1766,1121,9187,1,5,12.823628446539173
645,6,981,1971,2,981,981,282,10530,1,5,11.872346634576987
647,6,1094,1953,2,1094,1094,500,10452,1,5,11.951180395901384
648,6,1839,1966,2,756,1051,0,7700,1,5,11.951180395901384
649,4,630,1970,0,630,630,131,1936,1,6,11.344506813345266
650,7,1665,2007,2,813,822,0,8125,1,6,12.235388699864227
651,4,1510,1940,1,755,755,0,9084,1,5,11.589886506106357
652,7,1716,1996,2,880,909,0,8750,1,5,12.160028707028767
653,6,1469,1906,1,756,756,0,10320,1,7,11.813030057420567
655,6,1092,1971,1,525,525,0,1680,1,5,11.385092093460344
656,5,1053,1959,1,1053,1053,806,10007,1,7,11.887931365593685
657,7,1502,1931,1,776,851,0,7200,1,6,11.911701584927597
658,6,1458,1948,1,912,912,0,17503,1,5,11.487607656985938
659,5,1486,1964,2,1486,1486,637,9937,1,7,12.025749091398891
660,7,1935,1976,2,793,1142,0,12384,1,7,12.195517131590657
661,8,2448,1994,3,1629,1686,1361,46589,1,7,12.904207367601158
662,6,1392,1968,2,1392,1392,0,13560,1,3,11.608235644774552
663,4,1181,1972,2,1138,1181,920,10012,1,5,11.831379196088763
665,8,1936,2000,2,1406,1454,0,11194,1,5,12.348006141418841
666,6,2380,1965,2,1021,1465,187,18450,1,5,11.76756768334381
667,6,1679,1994,2,1408,1679,1138,8125,1,5,12.173032791451973
668,5,1437,1956,2,1188,1437,988,14175,1,6,12.031719258385396
669,4,1180,1922,1,700,1180,0,11600,1,5,11.831379196088763
670,6,1476,2005,2,738,738,193,8633,1,5,12.063932878369052
671,6,1369,1925,1,672,697,551,6629,2,6,11.54829260880752
672,6,1208,1977,2,1208,1208,767,11250,1,6,12.013700752882718
673,6,1839,1957,2,1477,1839,1186,14442,1,7,12.458774999085929
674,6,1136,1965,1,1136,1136,892,9200,1,6,11.84939770159144
675,6,1441,1978,2,855,855,311,2289,1,6,11.908340237224891
676,4,1774,1900,3,1095,1095,0,9600,2,2,11.37366339763672
677,5,792,1924,1,768,792,0,9022,1,8,11.603679828238693
679,5,988,1961,2,988,988,827,9945,1,5,11.763684183317412
680,6,923,1980,1,923,923,543,8012,1,5,11.870599909242044
681,5,1520,1932,1,793,848,182,4500,1,5,11.979385322467598
682,6,1291,1996,2,1291,1291,1003,2887,1,5,12.061046873479915
683,9,1668,2002,3,1626,1668,1059,11248,1,5,12.560244459250788
684,7,1839,1998,2,1195,1195,0,16770,1,5,12.30591798049989
685,7,2090,1984,2,1190,1190,828,5062,1,5,12.24288661865289
686,7,1761,2007,2,874,874,0,10207,1,6,12.336552511980964
687,7,1102,2004,2,551,551,239,5105,1,5,11.910358401381128
688,8,1419,2007,2,1419,1419,945,8089,1,6,12.8790171187726
689,6,1362,2005,2,1362,1362,20,7577,1,5,12.17921519136029
690,6,848,2004,2,848,848,697,4426,1,5,11.856515169360305
692,7,2519,1989,2,1210,1238,965,26178,1,5,12.721885810807203
693,5,1073,1921,1,1073,1073,0,5400,1,6,11.594321103174222
694,5,1539,1936,2,927,1067,0,6120,1,6,11.86005499606543
695,6,1137,1987,2,1112,1137,980,13811,1,6,12.078239274020289
696,5,616,1921,1,616,616,616,6000,1,7,11.396391648714276
697,5,1148,1952,1,980,1148,210,6420,1,7,11.72399643505017
698,5,894,1965,1,894,894,553,8450,1,8,11.83862560460953
699,7,1391,2004,2,1391,1391,16,4282,1,5,12.185869938212655
700,8,1800,2002,3,1800,1800,1274,14331,1,5,12.652359748158593
701,7,1164,1969,2,1164,1164,0,9600,1,5,11.84939770159144
702,8,2576,2006,3,1234,1264,0,12438,1,5,12.799175708864519
703,5,1812,1900,2,360,1032,0,7630,1,9,11.84939770159144
704,7,1484,2004,2,1473,1484,712,8400,1,5,12.269047444691562
706,7,1824,1971,2,1643,1824,1219,115149,1,5,12.618182296357007
707,8,1324,2006,2,1324,1324,863,6240,1,5,12.445089546000673
708,7,1456,2007,2,728,728,0,9018,1,5,12.09815330331068
709,5,904,1966,1,876,904,0,7162,1,7,11.607326140391713
710,3,729,1935,0,270,729,0,4130,1,6,10.858998997563564
711,4,1178,1900,1,859,859,0,8712,1,7,11.540307141711446
712,8,1228,1988,2,1228,1228,767,4671,1,5,12.14950229404178
713,4,960,1970,2,960,960,789,9873,2,5,11.76756768334381
714,6,1479,1976,2,725,725,533,13517,1,8,11.779128505744886
715,6,1350,1974,2,1064,1350,0,10140,1,5,12.013700752882718
716,7,2554,1890,2,718,1576,0,10800,1,8,11.979799201207037
717,5,1178,1973,2,1176,1178,1084,10000,1,6,11.964001084330445
718,7,2418,1993,3,1311,1325,1173,10542,1,5,12.739637756265655
719,5,971,1969,1,971,971,523,9920,1,6,11.763684183317412
720,8,1742,1985,2,1742,1742,1148,6563,1,5,12.524526376648708
721,6,848,2004,2,848,848,662,4426,1,5,11.870599909242044
722,4,864,1970,2,864,864,191,8120,1,7,11.732060994886899
723,4,1470,1954,1,941,997,0,8172,1,6,11.813030057420567
724,9,1698,2007,3,1698,1698,1234,13286,1,5,12.676076274775909
725,4,864,1970,2,864,864,375,6960,1,6,11.699405031912846
726,6,1680,1988,2,880,1680,808,21695,1,9,12.310432660854417
727,7,1232,2007,2,1232,1232,724,7314,1,5,12.178187442040638
728,5,1776,1958,3,1584,1776,0,11475,1,5,11.608235644774552
729,4,1208,1925,2,780,848,152,6240,1,5,11.542484267211773
730,8,1616,1995,2,1595,1616,1180,5389,1,5,12.373703486914124
731,7,1146,2003,2,868,1146,786,9590,1,5,12.141534124392603
732,7,2031,1998,2,1153,1153,252,11404,1,5,12.312682380588432
733,5,1144,1961,1,864,1144,594,10000,1,6,11.786001385032646
734,5,948,1968,1,948,948,0,8978,1,5,11.589886506106357
735,7,1768,1914,2,880,880,390,10800,2,7,12.0015054797889
737,8,1801,2005,3,893,901,0,10463,1,5,12.387977448827787
738,5,1200,1987,0,1200,1200,1200,10800,1,5,12.095141084822892
739,7,1728,2004,2,864,864,0,9313,1,5,12.154779351142624
740,5,1432,1910,2,264,768,0,9600,1,7,11.790557201568507
741,6,912,1961,1,912,912,832,6768,1,8,11.863582336583399
742,7,1349,2000,2,1349,1349,0,8450,1,5,12.095141084822892
743,5,1464,1963,2,520,1464,444,12886,1,6,12.072541252905651
744,8,1337,1993,2,1337,1337,733,5395,1,5,12.100712129872347
745,8,2715,1976,2,1142,1175,575,8963,1,9,12.610870864650634
746,7,2256,2000,2,952,980,300,8795,1,5,12.371587084007746
747,7,2640,1880,4,1240,1320,0,11700,2,7,12.491172637278908
748,7,1720,1996,2,1720,1720,919,10593,1,5,12.46997418931655
750,4,1140,1910,0,576,792,0,8800,1,7,11.477298287327077
751,7,1320,2003,2,660,660,0,7750,1,5,11.99535161421452
752,6,1494,1997,2,1479,1494,1200,9236,1,5,12.287652632522597
753,8,2098,2005,3,1030,1038,0,10240,1,5,12.526342907575106
754,6,1026,1969,2,1026,1026,439,7930,1,8,11.957611286231675
755,6,1471,1999,2,729,742,381,3230,1,5,12.058152515453552
756,8,1768,2007,2,866,866,20,10769,1,5,12.26434155365415
757,6,1386,1978,2,672,672,438,11616,1,5,11.976030352524807
758,7,1501,1999,2,744,757,549,2280,1,5,12.097373228606832
759,8,2531,1995,3,1318,1328,56,12257,1,5,12.577636201962656
760,6,864,1959,1,864,864,612,9100,1,6,11.755871643580617
761,5,1301,1924,2,1145,1301,405,6911,1,5,11.512925464970229
762,7,1547,2009,2,756,764,24,8640,1,5,12.279323107269766
763,8,2365,1999,3,1252,1268,1163,9430,1,5,12.727838209334498
764,8,1494,1995,2,1494,1494,437,9549,1,5,12.506177237980511
765,9,1506,2008,2,1498,1506,0,14587,1,5,12.484204257170104
766,7,1714,1988,2,980,980,394,10421,1,5,12.188417710291453
767,6,1750,1940,1,983,983,660,12508,1,7,11.982929094215963
769,8,3279,2003,3,1650,1690,1416,53504,1,5,13.195613839143922
770,5,858,1982,2,858,858,685,7252,1,5,11.812289042195847
771,4,1220,1951,2,836,1220,836,8877,1,5,11.532728092266408
772,6,1117,1976,2,1029,1117,422,7819,1,5,11.580584113444043
773,5,912,1958,1,912,912,456,10150,1,5,11.648330101976432
775,6,1204,1998,2,1204,1204,866,4500,1,5,11.99535161421452
776,7,1614,2005,3,1614,1614,20,11210,1,5,12.308177868467327
777,5,894,1974,2,864,894,762,13350,1,5,11.867097278690842
779,6,1004,1977,2,975,1004,975,10530,1,5,11.813030057420567
780,7,1253,1995,2,1237,1253,0,7875,1,5,12.078239274020289
781,6,1603,1992,2,761,810,387,7153,1,5,12.077670930725649
782,7,1430,2001,2,1413,1430,0,16285,1,5,12.139398512262181
783,5,1110,1978,2,1097,1110,1097,9101,1,6,12.016726473799254
784,6,1484,1914,0,742,742,0,6300,1,6,11.759785542901755
785,6,1342,1967,2,1372,1342,251,9790,1,5,11.992260421644849
786,5,1652,1915,1,686,966,686,10800,1,6,11.842229212112828
787,7,2084,2004,2,956,956,656,10142,1,5,12.358793732547838
788,4,901,1954,1,901,901,0,6000,1,7,11.588960151246226
789,6,2087,1966,2,832,976,568,12205,1,8,12.141534124392603
790,7,1145,2005,2,1145,1145,16,3182,1,5,11.984178313616395
791,6,1062,1976,2,1029,1062,539,11333,1,5,11.896826395162552
792,7,2013,1996,2,1117,1127,862,9920,1,5,12.50539915757667
793,8,1496,2007,2,1496,1496,0,9158,1,5,12.323855681186558
794,7,1895,1994,2,712,1086,0,10832,1,5,12.178187442040638
795,6,1564,1980,2,650,888,0,8400,1,6,12.049418835484797
796,6,1285,1977,2,660,1285,0,8197,1,5,11.874090314181814
797,5,773,1953,1,773,773,570,7677,1,5,11.608235644774552
799,5,1768,1937,1,731,981,569,7200,1,7,12.072541252905651
800,6,1688,1997,2,616,616,462,12798,1,5,12.206072645530174
801,4,1196,1916,2,1196,1196,197,4800,1,7,11.607326140391713
802,7,1456,2005,2,728,728,648,8199,1,5,12.14950229404178
804,5,1128,1954,1,936,1128,812,9000,1,5,11.678439903447801
805,7,1428,2008,2,1417,1428,0,12274,1,5,12.33569641332368
806,5,980,1967,1,980,980,400,9750,1,5,11.816726919301892
807,5,1576,1923,2,1324,1072,1309,21384,1,6,12.31716669303576
808,5,1086,1966,2,1024,1086,516,13400,1,5,11.982616545377663
809,5,2138,1898,2,849,1075,0,8100,2,5,11.571194373094205
810,6,1309,1974,2,1040,1309,663,10140,1,6,12.106252310247962
811,6,848,2004,2,848,848,662,4438,1,5,11.881034786534624
812,5,1044,1952,2,540,1044,0,8712,2,5,10.932981961904135
813,6,1442,1958,1,1442,1442,608,9750,1,6,11.969717200243734
814,5,1250,1918,1,686,686,0,8248,1,7,11.661345470088502
815,7,1661,1998,2,1649,1661,0,12137,1,5,12.323411137947407
816,5,1008,1954,1,1008,1008,486,11425,1,6,11.827736204810263
817,8,1689,2002,3,1568,1689,1218,13265,1,5,12.509874099861838
818,6,1052,1971,2,1010,1052,504,8816,1,7,11.951180395901384
819,7,1358,2009,2,1358,1358,733,6371,1,5,12.319401330837177
820,7,1640,2003,2,798,798,0,7226,1,5,12.117241431823558
821,4,936,1953,2,936,936,0,6000,2,4,11.440354772135393
822,7,1733,2003,2,847,847,0,12394,1,5,12.323855681186558
823,6,1489,1940,1,778,944,0,9900,1,7,11.845819880243557
824,8,1489,2006,2,1489,1489,0,11216,1,5,12.3570755190667
826,5,784,1924,0,784,784,784,6130,1,6,11.603679828238693
827,7,1434,2001,2,1454,1434,20,8529,1,5,12.14950229404178
828,5,2126,1967,2,1013,1160,249,28698,1,5,12.128111104060462
829,7,1223,2005,2,600,520,0,2544,1,5,11.900905258737373
830,6,1392,1957,2,1392,1392,1040,11900,1,5,12.01974306733868
831,7,1200,2005,2,600,520,0,3180,1,5,11.925035115797062
832,7,1829,2003,2,941,941,483,9548,1,6,12.375815420117268
833,6,1516,1964,2,1516,1516,196,10004,1,6,12.025749091398891
834,5,1144,1961,2,1144,1144,572,7875,1,6,11.8490404949436
835,4,1067,1950,2,1067,1067,442,9600,1,7,11.759785542901755
836,5,1559,1948,2,1559,1559,338,8100,1,6,11.941455846009388
837,6,987,1973,1,483,483,330,1680,1,5,11.512925464970229
838,5,1099,1995,1,1099,1099,0,9525,1,6,11.877568578558138
839,5,1200,1946,1,768,768,352,11767,1,6,11.779128505744886
840,6,1482,1925,1,672,810,156,12155,2,8,11.84939770159144
841,5,1539,1904,2,650,958,0,10440,1,8,11.967180737247824
842,6,1165,1966,2,1127,1165,312,9020,1,7,12.071969661006694
844,5,1416,1915,3,876,876,0,12665,1,8,11.94405831982697
845,5,1701,1975,2,1390,1701,1390,16647,1,5,12.049418835484797
846,7,1775,1993,2,740,1006,513,9317,1,5,12.269047444691562
847,5,864,1972,1,864,864,460,15523,1,6,11.801856756822442
848,6,2358,1908,2,907,1307,0,45600,1,8,12.388394202324129
849,6,1855,1976,2,528,1094,0,9600,1,7,12.138863895836725
850,6,848,2003,2,848,848,659,4435,1,5,11.786762130599957
851,8,1456,2003,2,1273,1456,0,3196,1,5,12.2783933071098
852,7,1646,1941,1,918,918,364,7128,1,5,12.007621706806335
853,6,1445,1964,2,1127,1445,564,12095,1,6,11.970350312009105
854,5,1779,1955,2,1763,1779,306,17920,1,4,12.043553716032399
855,5,1040,1962,1,1040,1040,659,6897,1,8,11.751942365440728
856,6,1026,1978,2,940,1026,505,10970,1,6,11.898187865760873
857,6,1481,1994,2,702,702,0,8125,1,5,12.066810578196666
858,7,1370,1976,2,1090,1370,0,10400,1,5,11.931635799828413
859,6,2654,1968,2,1054,1512,619,11029,1,7,12.429216196844383
860,7,1426,1918,1,912,912,0,7642,1,8,12.154516158615772
861,5,1039,1965,2,1039,1039,841,11625,1,4,11.786762130599957
862,6,1097,1984,2,1040,1097,338,9672,1,5,11.931635799828413
863,5,1148,1959,1,1148,1148,1148,7931,1,5,11.794337924408413
864,7,1372,2007,2,1372,1372,0,8640,1,5,12.431533509799543
865,5,1002,1970,2,1002,1002,828,8750,1,6,11.908340237224891
866,8,1646,2006,3,1638,1646,0,10656,1,5,12.424806488355683
867,4,1120,1961,2,1040,1120,932,6970,1,5,11.76756768334381
869,7,1949,1993,2,1050,1062,750,9938,1,5,12.371587084007746
